Source,Indicator,Country,Administrative level,Year,Value ,Category,valuetype
Household Survey Indicators,Completion rate in primary education,Argentina,National,2006,0.962569479,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2006,0.676301276,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2006,0.285733832,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2006,0.989897891,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2006,0.815259311,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2006,0.435208385,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2006,0.19706777,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2007,0.961666795,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2007,0.673198771,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2007,0.269819035,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2007,0.992691622,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2007,0.826936655,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2007,0.42780774,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2007,0.195780816,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2008,0.962759248,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2008,0.650141519,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2008,0.272671783,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2008,0.987412479,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2008,0.809272465,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2008,0.440252518,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2008,0.194966916,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2009,0.961147442,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2009,0.620127288,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2009,0.290909121,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2009,0.983075702,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2009,0.821018402,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2009,0.439371588,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2009,0.207851304,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2010,0.96123852,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2010,0.602338908,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2010,0.288333488,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2010,0.990789664,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2010,0.840906273,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2010,0.448823264,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2010,0.199893454,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2011,0.975161243,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2011,0.642380594,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2011,0.270755933,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2011,0.993083379,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2011,0.842716272,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2011,0.471677818,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2011,0.183330544,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2012,0.963349261,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2012,0.656132221,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2012,0.267748983,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2012,0.992954748,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2012,0.839594706,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2012,0.463442511,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2012,0.181240991,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2013,0.973979415,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2013,0.62357949,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2013,0.281557597,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2013,0.988472448,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2013,0.843487853,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2013,0.448696191,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2013,0.196979664,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2014,0.975403699,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2014,0.626200162,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2014,0.261504406,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2014,0.989991462,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2014,0.858833168,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2014,0.465268027,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2014,0.192570641,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2015,0.979392238,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2015,0.649058499,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2015,0.255229711,Total,pct
Household Survey Indicators,Net attendance rate in primary education,Argentina,National,2015,0.993149573,Total,pct
Household Survey Indicators,Net attendance rate in secondary education,Argentina,National,2015,0.892348004,Total,pct
Household Survey Indicators,Net attendance rate in tertiary education,Argentina,National,2015,0.475723508,Total,pct
Household Survey Indicators,"Percentage of young people between 15 and 24 years old who are ""Not in Employment, Education or Training"" (NEET)",Argentina,National,2015,0.198224469,Total,pct
Household Survey Indicators,Completion rate in primary education,Argentina,National,2016,0.986245254,Total,pct
Household Survey Indicators,Completion rate in secondary education,Argentina,National,2016,0.649703611,Total,pct
Household Survey Indicators,Early school dropout rate,Argentina,National,2016,0.251210979,Total,pct
