Edad,Pais,Anio,Sexo,Porcentaje_Directivas
15 años y más,América Central,2000,Mujer,25.14
15 años y más,América Central,2001,Mujer,26.39
15 años y más,América Central,2002,Mujer,25.28
15 años y más,América Central,2003,Mujer,26.43
15 años y más,América Central,2004,Mujer,27.39
15 años y más,América Central,2005,Mujer,28.28
15 años y más,América Central,2006,Mujer,29.96
15 años y más,América Central,2007,Mujer,30.92
15 años y más,América Central,2008,Mujer,33.37
15 años y más,América Central,2009,Mujer,35.15
15 años y más,América Central,2010,Mujer,34.55
15 años y más,América Central,2011,Mujer,34.67
15 años y más,América Central,2012,Mujer,35.74
15 años y más,América Central,2013,Mujer,36.49
15 años y más,América Central,2014,Mujer,35.95
15 años y más,América Central,2015,Mujer,36.92
15 años y más,América Central,2016,Mujer,36.88
15 años y más,América Central,2017,Mujer,36.85
15 años y más,América Central,2018,Mujer,37.12
15 años y más,América Central,2019,Mujer,37.38
15 años y más,América Central,2020,Mujer,38.79
15 años y más,América Central,2021,Mujer,39.12
15 años y más,América Central,2022,Mujer,38.51
15 años y más,América Central,2023,Mujer,38.43
15 años y más,Islas Caimán,2004,Mujer,51.39
15 años y más,Islas Caimán,2007,Mujer,46.04
15 años y más,Islas Caimán,2008,Mujer,44.35
15 años y más,Islas Caimán,2010,Mujer,41.94
15 años y más,Islas Caimán,2011,Mujer,43.72
15 años y más,Islas Caimán,2012,Mujer,42.41
15 años y más,Islas Caimán,2013,Mujer,38.97
15 años y más,Islas Caimán,2014,Mujer,38.12
15 años y más,Islas Caimán,2015,Mujer,42.45
15 años y más,Chile,2000,Mujer,32.59
15 años y más,Chile,2002,Mujer,32.72
15 años y más,Chile,2003,Mujer,42.66
15 años y más,Chile,2006,Mujer,40.19
15 años y más,Chile,2009,Mujer,33.32
15 años y más,Chile,2010,Mujer,23.35
15 años y más,Chile,2011,Mujer,23.28
15 años y más,Chile,2012,Mujer,23.27
15 años y más,Chile,2013,Mujer,24.22
15 años y más,Chile,2014,Mujer,25.98
15 años y más,Chile,2015,Mujer,27.46
15 años y más,Chile,2016,Mujer,26.33
15 años y más,Chile,2017,Mujer,29.36
15 años y más,Chile,2018,Mujer,30.68
15 años y más,Chile,2019,Mujer,30
15 años y más,Chile,2020,Mujer,27.38
15 años y más,Chile,2021,Mujer,30.32
15 años y más,Chile,2022,Mujer,29.56
