Pais,Anio,Escolaridad,Relacion_salarial
Bolivia,2001,13 años y más,77.2
Bolivia,2001,6 a 9 años,65
Bolivia,2001,Total,86.1
Bolivia,2002,0 a 5 años,67.1
Bolivia,2002,10 a 12 años,69.8
Bolivia,2002,13 años y más,60.9
Bolivia,2002,6 a 9 años,90.6
Bolivia,2002,Total,71.8
Bolivia,2004,0 a 5 años,73
Bolivia,2004,10 a 12 años,73.4
Bolivia,2004,13 años y más,74.9
Bolivia,2004,6 a 9 años,68.7
Bolivia,2004,Total,80.5
Bolivia,2005,0 a 5 años,71.6
Bolivia,2005,10 a 12 años,67.7
Bolivia,2005,13 años y más,69.5
Bolivia,2005,6 a 9 años,62.3
Bolivia,2005,Total,82.8
Bolivia,2006,0 a 5 años,66.5
Bolivia,2006,10 a 12 años,69.6
Bolivia,2006,13 años y más,54.7
Bolivia,2006,6 a 9 años,64.3
Bolivia,2006,Total,68.9
Bolivia,2007,0 a 5 años,67.9
Bolivia,2007,10 a 12 años,68.2
Bolivia,2007,13 años y más,71
Bolivia,2007,6 a 9 años,70.1
Bolivia,2007,Total,76.7
Bolivia,2008,0 a 5 años,64.5
Bolivia,2008,10 a 12 años,65.2
Bolivia,2008,13 años y más,70.3
Bolivia,2008,6 a 9 años,59.9
Bolivia,2008,Total,70.4
Bolivia,2009,0 a 5 años,67.3
Bolivia,2009,10 a 12 años,72.5
Bolivia,2009,13 años y más,81
Bolivia,2009,6 a 9 años,62.1
Bolivia,2009,Total,78.9
Bolivia,2011,0 a 5 años,64.6
Bolivia,2011,10 a 12 años,63.9
Bolivia,2011,13 años y más,78.2
Bolivia,2011,6 a 9 años,68.8
Bolivia,2011,Total,77.7
Bolivia,2012,0 a 5 años,55.9
Bolivia,2012,10 a 12 años,60
Bolivia,2012,13 años y más,81.5
Bolivia,2012,6 a 9 años,50.2
Bolivia,2012,Total,75.1
Bolivia,2013,0 a 5 años,62.4
Bolivia,2013,10 a 12 años,66.5
Bolivia,2013,13 años y más,78.6
Bolivia,2013,6 a 9 años,54.9
Bolivia,2013,Total,76.7
Bolivia,2014,0 a 5 años,61.8
Bolivia,2014,10 a 12 años,65
Bolivia,2014,13 años y más,81.2
Bolivia,2014,6 a 9 años,60.9
Bolivia,2014,Total,77.1
Bolivia,2015,0 a 5 años,61.2
Bolivia,2015,10 a 12 años,69.6
Bolivia,2015,13 años y más,88.8
Bolivia,2015,6 a 9 años,66
Bolivia,2015,Total,84.4
Bolivia,2016,0 a 5 años,64.4
Bolivia,2016,10 a 12 años,72.2
Bolivia,2016,13 años y más,78.3
Bolivia,2016,6 a 9 años,63.1
Bolivia,2016,Total,78.2
Bolivia,2017,0 a 5 años,64
Bolivia,2017,10 a 12 años,74.6
Bolivia,2017,13 años y más,80.7
Bolivia,2017,6 a 9 años,67.3
Bolivia,2017,Total,81.3
Bolivia,2018,0 a 5 años,67.8
Bolivia,2018,10 a 12 años,74.8
Bolivia,2018,13 años y más,87.5
Bolivia,2018,6 a 9 años,74.8
Bolivia,2018,Total,85.9
Bolivia,2019,0 a 5 años,68.3
Bolivia,2019,10 a 12 años,71.2
Bolivia,2019,13 años y más,85
Bolivia,2019,6 a 9 años,64.7
Bolivia,2019,Total,82.1
