ref_area.label,source.label,indicator.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Bahamas,EFT - Encuesta de fuerza laboral y hogares,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Total,2019,-2.117,,,Moneda: BHS - Dólar bahameño (BSD),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bahamas,EFT - Encuesta de fuerza laboral y hogares,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Niveles de competencia 3 y 4 ~ altos,2019,0.599,,,Moneda: BHS - Dólar bahameño (BSD),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bahamas,EFT - Encuesta de fuerza laboral y hogares,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 2 ~ medio,2019,12.765,,,Moneda: BHS - Dólar bahameño (BSD),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bahamas,EFT - Encuesta de fuerza laboral y hogares,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 1 ~ bajo,2019,-54.541,,,Moneda: BHS - Dólar bahameño (BSD),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bahamas,EFT - Encuesta de fuerza laboral y hogares,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 1. Directores y gerentes,2019,-18.189,,,Moneda: BHS - Dólar bahameño (BSD),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bahamas,EFT - Encuesta de fuerza laboral y hogares,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 2. Profesionales científicos e intelectuales,2019,16.059,,,Moneda: BHS - Dólar bahameño (BSD),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bahamas,EFT - Encuesta de fuerza laboral y hogares,Brecha salarial de género según ocupación (%),Ocupación (CIUO-08): 3. Técnicos y profesionales de nivel medio,2019,4.022,,,Moneda: BHS - Dólar bahameño (BSD),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Total,2024,4.359,,,Moneda: BOL - Boliviano (BOB),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Niveles de competencia 3 y 4 ~ altos,2024,7.765,,,Moneda: BOL - Boliviano (BOB),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
Bolivia (Estado Plurinacional de),EFT - Encuesta Continua de Empleo,Brecha salarial de género según ocupación (%),Ocupación (Nivel de competencia): Nivel de competencia 2 ~ medio,2024,11.847,,,Moneda: BOL - Boliviano (BOB),Repositorio: OIT-STATISTICS - Procesamiento de microdatos
