indicator,Tipo de informe,Sexo,País__ESTANDAR,Años__ESTANDAR,value,unit,notes_ids,source_id
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2000,14.31,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2001,12.93,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2002,13.87,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2003,14.25,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2004,16.88,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2005,17.39,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2006,20.14,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2007,19.88,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2008,20.50,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2009,20.55,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2010,21.57,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2011,21.03,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2012,22.99,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2013,28.34,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2014,29.32,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2015,30.14,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2016,32.50,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2017,33.07,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2018,32.53,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2019,36.27,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2020,36.93,Porcentaje,9824,5018
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2021,37.13,Porcentaje,10767,5414
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2022,38.38,Porcentaje,10767,5414
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2023,38.65,Porcentaje,10767,5414
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2024,39.00,Porcentaje,10767,5414
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,América Central,2025,39.65,Porcentaje,10767,5414
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2000,10.83,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2001,10.83,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2002,12.50,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2003,12.50,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2004,12.50,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2005,12.50,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2006,15.00,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2007,15.00,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2008,15.00,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2009,15.00,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2010,14.17,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2011,14.17,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2012,14.17,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2013,14.17,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2014,15.83,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2015,15.83,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2016,15.83,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2017,15.83,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2019,22.58,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2020,22.58,Porcentaje,9824,5018
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2021,22.58,Porcentaje,10767,5414
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2022,35.48,Porcentaje,10767,5414
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2023,35.48,Porcentaje,10767,5414
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2024,35.48,Porcentaje,10767,5414
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Chile,2025,35.06,Porcentaje,10767,5414
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2000,11.80,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2001,11.80,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2002,11.80,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2003,12.05,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2004,12.05,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2005,12.05,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2006,12.12,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2007,8.43,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2008,8.43,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2009,8.43,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2010,8.43,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2011,12.65,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2012,12.12,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2013,12.12,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2014,12.12,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2015,19.88,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2016,19.88,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2017,18.67,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2018,18.67,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2019,18.71,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2020,18.34,Porcentaje,9824,5018
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2021,18.82,Porcentaje,10767,5414
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2022,18.56,Porcentaje,10767,5414
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2023,28.88,Porcentaje,10767,5414
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2024,28.88,Porcentaje,10767,5414
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Colombia,2025,29.41,Porcentaje,10767,5414
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Costa Rica,2000,19.30,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Costa Rica,2001,19.30,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Costa Rica,2002,19.30,Porcentaje,8977,3666
Proporción de escaños ocupados por mujeres en los parlamentos nacionales (en porcentajes del número total de escaños) SG_GEN_PARL,Global,Mujer,Costa Rica,2003,35.09,Porcentaje,8977,3666
