Anio,Pais,Tipos de trabajo,Sexo,Tiempo_Remunerado
2012,Brasil,Tiempo trabajo remunerado,Mujeres,19.8
2012,Brasil,Tiempo trabajo remunerado,Hombres,37
2012,Colombia,Tiempo trabajo remunerado,Mujeres,20.3
2012,Colombia,Tiempo trabajo remunerado,Hombres,44.1
2012,Ecuador,Tiempo trabajo remunerado,Mujeres,18.6
2012,Ecuador,Tiempo trabajo remunerado,Hombres,39.6
2011,Guatemala,Tiempo trabajo remunerado,Mujeres,16.5
2011,Guatemala,Tiempo trabajo remunerado,Hombres,49.3
2009,Honduras,Tiempo trabajo remunerado,Mujeres,14.3
2009,Honduras,Tiempo trabajo remunerado,Hombres,38.6
2011,Panamá,Tiempo trabajo remunerado,Mujeres,23.3
2011,Panamá,Tiempo trabajo remunerado,Hombres,41.7
2010,Perú,Tiempo trabajo remunerado,Mujeres,20.3
2010,Perú,Tiempo trabajo remunerado,Hombres,40
2007,Uruguay,Tiempo trabajo remunerado,Mujeres,19.1
2007,Uruguay,Tiempo trabajo remunerado,Hombres,36.7
2013,Argentina,Tiempo trabajo remunerado,Mujeres,16.1
2013,Argentina,Tiempo trabajo remunerado,Hombres,36.3
2011,Costa Rica,Tiempo trabajo remunerado,Mujeres,20.2
2011,Costa Rica,Tiempo trabajo remunerado,Hombres,38.6
2013,Uruguay,Tiempo trabajo remunerado,Mujeres,21.9
2013,Uruguay,Tiempo trabajo remunerado,Hombres,36.9
2014,Guatemala,Tiempo trabajo remunerado,Mujeres,15
2014,Guatemala,Tiempo trabajo remunerado,Hombres,42.1
2014,México,Tiempo trabajo remunerado,Mujeres,20.5
2014,México,Tiempo trabajo remunerado,Hombres,44.9
2015,Chile,Tiempo trabajo remunerado,Mujeres,19.8
2015,Chile,Tiempo trabajo remunerado,Hombres,34.6
2010,El Salvador,Tiempo trabajo remunerado,Mujeres,19.5
2010,El Salvador,Tiempo trabajo remunerado,Hombres,37.2
2016,Paraguay,Tiempo trabajo remunerado,Mujeres,18.1
2016,Paraguay,Tiempo trabajo remunerado,Hombres,35.4
2016,República Dominicana,Tiempo trabajo remunerado,Mujeres,19.8
2016,República Dominicana,Tiempo trabajo remunerado,Hombres,37.2
2017,Colombia,Tiempo trabajo remunerado,Mujeres,19.8
2017,Colombia,Tiempo trabajo remunerado,Hombres,43.1
2017,Costa Rica,Tiempo trabajo remunerado,Mujeres,16.8
2017,Costa Rica,Tiempo trabajo remunerado,Hombres,38.1
2017,El Salvador,Tiempo trabajo remunerado,Mujeres,21.4
2017,El Salvador,Tiempo trabajo remunerado,Hombres,41.2
2016,Cuba,Tiempo trabajo remunerado,Mujeres,22.1
2016,Cuba,Tiempo trabajo remunerado,Hombres,34.3
2017,Brasil,Tiempo trabajo remunerado,Mujeres,16.8
2017,Brasil,Tiempo trabajo remunerado,Hombres,28.5
2017,Guatemala,Tiempo trabajo remunerado,Mujeres,15.9
2017,Guatemala,Tiempo trabajo remunerado,Hombres,43.2
2019,México,Tiempo trabajo remunerado,Mujeres,22.1
2019,México,Tiempo trabajo remunerado,Hombres,44.6
2019,Brasil,Tiempo trabajo remunerado,Mujeres,16.8
2019,Brasil,Tiempo trabajo remunerado,Hombres,28.3
2019,Guatemala,Tiempo trabajo remunerado,Mujeres,17.5
2019,Guatemala,Tiempo trabajo remunerado,Hombres,44.3
2021,Argentina,Tiempo trabajo remunerado,Mujeres,19.3
2021,Argentina,Tiempo trabajo remunerado,Hombres,36.6
2021,Colombia,Tiempo trabajo remunerado,Mujeres,16.9
2021,Colombia,Tiempo trabajo remunerado,Hombres,39.5
2021,República Dominicana,Tiempo trabajo remunerado,Mujeres,22.6
2021,República Dominicana,Tiempo trabajo remunerado,Hombres,37.5
2022,Costa Rica,Tiempo trabajo remunerado,Mujeres,18.6
2022,Costa Rica,Tiempo trabajo remunerado,Hombres,37
2022,Guatemala,Tiempo trabajo remunerado,Mujeres,14.4
2022,Guatemala,Tiempo trabajo remunerado,Hombres,38.4
2022,Uruguay,Tiempo trabajo remunerado,Mujeres,20.9
2022,Uruguay,Tiempo trabajo remunerado,Hombres,32.1
2023,Chile,Tiempo trabajo remunerado,Mujeres,18.4
2023,Chile,Tiempo trabajo remunerado,Hombres,30.1
2022,El Salvador,Tiempo trabajo remunerado,Mujeres,20.9
2022,El Salvador,Tiempo trabajo remunerado,Hombres,41
2024,Perú,Tiempo trabajo remunerado,Mujeres,22.5
2024,Perú,Tiempo trabajo remunerado,Hombres,39.6
